712	16
713	32
581	64
767	128
728	256
745	512
743	1024
796	2 MB
738	4 MB
923	8 MB
1256	16 MB
1998	32 MB
2003	64 MB
708	1
710	2
584	4
717	8
704	16
575	32
703	64
751	128
710	256
735	512
614	1024
922	2 MB
739	4 MB
800	8 MB
1199	16 MB
1981	32 MB
2019	64 MB
STRIDE SIZE 64
701	1
710	2
575	4
1169	8
589	16
726	32
705	64
744	128
583	256
732	512
723	1024
792	2 MB
731	4 MB
933	8 MB
1102	16 MB
1733	32 MB
1705	64 MB
577	1
762	2
729	4
722	8
711	16
1045	32
705	64
767	128
707	256
611	512
729	1024
930	2 MB
731	4 MB
790	8 MB
1196	16 MB
1601	32 MB
1733	64 MB
726	1
718	2
711	4
615	8
716	16
717	32
1033	64
1185	128
1055	256
1172	512
1047	1024
1048	2 MB
1181	4 MB
1225	8 MB
1324	16 MB
1774	32 MB
1917	64 MB
725	1
584	2
715	4
734	8
720	16
580	32
706	64
766	128
706	256
734	512
598	1024
920	2 MB
736	4 MB
798	8 MB
1265	16 MB
1743	32 MB
1759	64 MB
573	1
711	2
578	4
719	8
713	16
705	32
579	64
765	128
708	256
743	512
725	1024
785	2 MB
729	4 MB
792	8 MB
1221	16 MB
1729	32 MB
1745	64 MB
576	1
717	2
1069	4
724	8
717	16
761	32
712	64
742	128
588	256
733	512
724	1024
786	2 MB
736	4 MB
921	8 MB
1094	16 MB
1749	32 MB
1759	64 MB
725	1
1065	2
711	4
725	8
590	16
705	32
714	64
789	128
710	256
745	512
723	1024
789	2 MB
728	4 MB
797	8 MB
1289	16 MB
1759	32 MB
1747	64 MB
591	1
711	2
718	4
598	8
715	16
704	32
710	64
766	128
584	256
733	512
726	1024
793	2 MB
736	4 MB
924	8 MB
1249	16 MB
1741	32 MB
1771	64 MB
703	1
584	2
704	4
722	8
589	16
703	32
711	64
766	128
715	256
747	512
600	1024
917	2 MB
736	4 MB
794	8 MB
1206	16 MB
1732	32 MB
1614	64 MB
706	1
590	2
722	4
724	8
719	16
761	32
589	64
893	128
589	256
733	512
724	1024
788	2 MB
731	4 MB
797	8 MB
1206	16 MB
1742	32 MB
1736	64 MB
714	1
592	2
711	4
736	8
1035	16
705	32
578	64
919	128
738	256
750	512
727	1024
790	2 MB
737	4 MB
799	8 MB
1441	16 MB
1743	32 MB
1771	64 MB
