2603	1
2725	2
2711	4
2970	8
3278	16
2753	28
2779	30
2721	32
3288	34
2740	36
2750	56
2733	60
3214	64
2742	68
2800	72
3198	128
2589	256
2979	512
2743	1024
3267	2 MB
2951	4 MB
3240	8 MB
3304	16 MB
3729	18 MB
3954	20 MB
3974	22 MB
3996	32 MB
3836	64 MB
2896	1
2779	2
2729	4
3286	8
2780	16
2751	28
2714	30
3235	32
2828	34
2709	36
2694	56
3232	60
2596	64
2768	68
2697	72
3205	128
2580	256
2943	512
2755	1024
3212	2 MB
2803	4 MB
3272	8 MB
3696	16 MB
3788	18 MB
3924	20 MB
3828	22 MB
3950	32 MB
4233	64 MB
2749	1
2726	2
3211	4
2776	8
2766	16
2711	28
3248	30
2774	32
2747	34
2755	36
3248	56
2735	60
2749	64
2571	68
3202	72
3064	128
2689	256
3016	512
2787	1024
3186	2 MB
2807	4 MB
3247	8 MB
3684	16 MB
3555	18 MB
3918	20 MB
3783	22 MB
3992	32 MB
4079	64 MB
2725	1
2744	2
2715	4
2771	8
2763	16
3446	28
2803	30
2757	32
2720	34
3269	36
2773	56
2713	60
2579	64
3209	68
2714	72
3076	128
2743	256
3006	512
2882	1024
3057	2 MB
2970	4 MB
3257	8 MB
3317	16 MB
3672	18 MB
3554	20 MB
3928	22 MB
3829	32 MB
3975	64 MB
2578	1
2897	2
2593	4
2939	8
3259	16
2777	28
2748	30
2769	32
3201	34
2754	36
2713	56
2612	60
3211	64
2715	68
2968	72
3234	128
2582	256
2920	512
2762	1024
3253	2 MB
2811	4 MB
3268	8 MB
3453	16 MB
3494	18 MB
3719	20 MB
3756	22 MB
3763	32 MB
3793	64 MB
2712	1
2767	2
2785	4
3273	8
2755	16
2914	28
2601	30
3416	32
2581	34
2711	36
2733	56
3238	60
2711	64
2741	68
2612	72
3208	128
2714	256
2979	512
2760	1024
3059	2 MB
2910	4 MB
3071	8 MB
3460	16 MB
3781	18 MB
3695	20 MB
3554	22 MB
3770	32 MB
3936	64 MB
2717	1
2765	2
3217	4
2788	8
2763	16
2736	28
3274	30
2759	32
2742	34
2729	36
3254	56
2709	60
2989	64
2591	68
3200	72
2986	128
3250	256
2971	512
2758	1024
3064	2 MB
2930	4 MB
3225	8 MB
3582	16 MB
3929	18 MB
3844	20 MB
3925	22 MB
4051	32 MB
3966	64 MB
2919	1
2765	2
2565	4
2905	8
2852	16
3235	28
2754	30
2895	32
2790	34
3255	36
2702	56
2766	60
2774	64
3216	68
2609	72
3241	128
2910	256
2821	512
2922	1024
3040	2 MB
2792	4 MB
3452	8 MB
3476	16 MB
3557	18 MB
4198	20 MB
3740	22 MB
3822	32 MB
3975	64 MB
